dx.obs,change,dx.bearing,dx.resultant,mag.resultant,dx.0,dist.0,dx.1,dist.1,dx.2,dist.2,dx.3,dist.3,dx.4,dist.4,dx.5,dist.5,dx.6,dist.6,dx.7,dist.7,dx.8,dist.8,dx.9,dist.9,dx.10,dist.10,dx.11,dist.11,dx.12,dist.12,dx.13,dist.13,RevisitT,time,x,y,iid,dy.obs,dy.bearing,dy.resultant,dy.0,dy.1,dy.2,dy.3,dy.4,dy.5,dy.6,dy.7,dy.8,dy.9,dy.10,dy.11,dy.12,dy.13
0.435754819,dx,0.662836283,-0.60576706,0.221218586,-0.577073167,51.42423905,NA,NA,0.78654684,17.15542458,-0.990741602,35.93682407,0.916430061,10.26015121,-0.966631052,33.56876633,-0.829381586,32.10090708,-0.911037359,38.33373477,-0.533944009,45.69858913,0.903175512,3.502239666,NA,NA,0.684840627,25.86869326,-0.789693227,20.23900698,0.699425643,7.337694941,480,2007-05-11T07:30,445498.3108,6185116.703,26.78552259,0.900065407,0.748764357,0.795642049,0.816692452,NA,0.617530621,-0.13576111,0.400194882,-0.256172616,-0.558682544,-0.412323818,-0.845519837,0.429271469,NA,0.728692881,0.613501921,0.714705373
0.867666609,dx,0.435754819,0.728554106,0.301621429,-0.506525292,89.76857621,NA,NA,0.472927116,31.77251174,-0.699855484,55.20979639,0.971153187,22.13065277,-0.7334921,14.97492969,0.711106258,16.37096126,-0.561778243,43.02338435,0.616024725,23.74990873,0.996379609,25.45957122,NA,NA,0.998887278,25.241355,-0.61663281,40.87020367,0.988775944,20.79576153,600,2007-05-11T07:34,445526.0342,6185173.967,34.11396771,0.497146513,0.900065407,0.684988259,0.862225103,NA,-0.881101551,0.714284468,-0.238456468,0.679697976,0.703084554,0.827287861,-0.787726817,-0.085015737,NA,0.047161495,0.787250899,-0.149405933
0.224415256,dx,0.867666609,-0.808109639,0.760208442,-0.694402322,201.1035471,NA,NA,-0.363550059,46.6439676,-0.726170669,130.6430926,-0.936717051,15.08374611,-0.697228506,69.80046593,-0.937292957,16.24760055,-0.596063872,140.617679,-0.6153947,43.91595568,-0.253202802,20.42302044,NA,NA,-0.322388404,21.04818572,-0.72156279,108.9826103,-0.508006922,9.58401507,1680,2007-05-11T07:40,445601.9016,6185217.437,68.67449051,0.974493609,0.497146513,0.589032098,0.719586975,NA,-0.931574664,0.68751448,0.350087369,0.716848946,0.348542555,0.802937022,-0.788219109,0.967413221,NA,0.946607478,0.692349002,0.861352986
-0.669799437,dx,0.224415256,-0.999971133,0.92264427,-0.999581517,190.0773922,NA,NA,-0.999985883,37.44934448,-0.911681166,165.6741244,-0.948245931,49.22011315,-0.941886468,55.69120315,-0.657993547,44.40622917,-0.853527961,81.89612767,-0.953740121,42.70383981,-0.870065816,53.31885855,NA,NA,-0.9768722,53.23228798,-0.962484675,115.7202065,-0.995346213,79.48137886,1680,2007-05-11T08:02,445677.2702,6185544.715,80.73925883,0.742542062,0.974493609,-0.007598275,0.028927325,NA,-0.005313521,0.410898346,0.317536856,-0.335931364,-0.753023567,-0.521047043,-0.300632303,0.49293557,NA,0.213824007,0.271336047,0.096363459
-0.369042742,dx,-0.669799437,-0.949984959,0.75146188,-0.993371651,123.69826,NA,NA,-0.703209175,54.6876017,-0.852636964,137.5840063,-0.87877521,65.69389026,-0.687346935,50.51763036,-0.376048009,41.96276971,-0.600821889,52.8892603,-0.75352773,44.80985782,-0.420054198,75.34394201,NA,NA,-0.633788109,65.23618531,-0.844748571,93.45232596,-0.822201174,92.54638619,840,2007-05-11T08:08,445615.0281,6185613.717,74.86850966,0.929412425,0.742542062,0.312295658,0.114946784,NA,0.710983021,0.522503788,0.477235927,-0.726329258,-0.926600181,-0.799382923,0.657416124,0.90749902,NA,0.773506711,0.535163388,0.569197004
0.01001661,dx,-0.369042742,-0.888225039,0.631230747,-0.968958514,110.3826435,NA,NA,-0.329370504,48.59974527,-0.965291485,102.4004147,-0.534719959,62.49618593,-0.695962901,21.50642009,-0.195851583,61.2158763,-0.358834946,57.83257545,-0.495822027,53.73265708,-0.174707423,64.97869881,NA,NA,-0.443221464,54.18975589,-0.963979366,41.84373239,-0.601379024,72.61547223,1080,2007-05-11T08:16,445558.5526,6185755.947,62.6495148,0.999949833,0.929412425,0.459408619,0.247223379,NA,0.944200758,0.261174938,0.845029328,-0.71807774,-0.980633549,-0.933401029,0.868424157,0.984620392,NA,0.896412145,0.265977033,0.798963873
-0.732284406,dx,0.01001661,-0.998202499,0.940275653,-0.99156662,202.6827888,NA,NA,-0.974892158,50.35854636,-0.988908505,157.1815504,-0.99180124,78.16625608,-0.588754529,21.52396906,-0.935058245,104.3453488,-0.925721607,108.1730341,-0.974558376,68.23390164,-0.986212739,84.79418335,NA,NA,-0.990430939,69.63432674,-0.923093527,105.9195984,-0.992027429,137.8515134,1260,2007-05-11T08:26,445560.1992,6185920.329,99.07208476,0.680998934,0.999949833,0.059931391,0.129597989,NA,0.222677527,-0.148525987,0.127790063,0.808311886,-0.354494116,-0.378205641,0.224133824,0.165482429,NA,0.13800926,-0.384575534,0.126022145
-0.367991687,dx,-0.732284406,-0.907394629,0.820362474,-0.999300323,132.0013818,NA,NA,-0.925229234,22.95828267,-0.492124775,130.0020455,-0.973043644,44.05139663,-0.212115478,23.79603817,-0.356976439,77.35448182,-0.522377966,120.1578277,-0.97408707,55.0136379,-0.941231006,31.25276984,NA,NA,-0.992830939,30.80611863,-0.597514463,71.63234562,-0.945879145,90.12919096,1320,2007-05-11T08:37,445381.4798,6186086.532,69.09629311,0.92982908,0.680998934,-0.420279654,-0.037401392,NA,-0.379408572,-0.870524673,-0.230621046,0.977244608,-0.934113388,-0.852714055,-0.226173341,-0.337763516,NA,-0.1195271,-0.801858134,-0.324519096
0.243671065,dx,-0.367991687,-0.971292182,0.438408271,-0.968918449,146.0849069,NA,NA,0.993057979,21.18479878,-0.747157156,119.2783276,-0.746308605,23.02928911,-0.974574558,28.16356072,-0.863022545,83.5194672,-0.855059721,133.3333277,-0.946125668,51.74082205,0.962432981,34.86114457,NA,NA,0.967151197,25.22381154,-0.935098864,87.81155825,-0.996246819,102.8937521,1560,2007-05-11T08:48,445337.1439,6186198.558,71.42706389,0.969857934,0.92982908,-0.237889674,0.247380352,NA,-0.117625893,-0.664647413,0.66560008,-0.224063452,-0.505165406,-0.518529531,0.32379966,-0.27151935,NA,0.254201813,-0.354386955,-0.086557935
0.076951344,dx,0.243671065,-0.765889131,0.933194256,-0.5394087,141.0877594,NA,NA,-0.616971759,82.22831502,-0.983509899,82.72082927,-0.696331858,76.64095268,-0.765683429,16.14986891,-0.933991596,145.2283422,-0.958318475,120.793594,-0.677556857,74.10518292,-0.370845256,73.40423891,NA,NA,-0.566759149,70.82798498,-0.8995167,139.0894198,-0.567786502,122.8382699,2100,2007-05-11T09:03,445370.6812,6186332.043,95.42622983,0.997034849,0.969857934,0.642972659,0.842044093,NA,0.786985291,-0.180854301,0.717719962,0.643217605,0.357294975,0.285702119,0.735470398,0.928694673,NA,0.823883527,0.436886376,0.823175855
0.259601288,dx,0.076951344,0.980539425,0.851855719,0.449294594,86.57665562,NA,NA,0.995575049,27.82601595,0.664985027,122.1224337,0.96840046,21.72920504,0.999964457,62.04124759,0.926981261,76.88944529,0.801411885,90.39877644,0.958431305,10.98242279,0.957453143,71.74563058,NA,NA,0.75825644,66.83852072,0.778799227,29.11311264,0.763784394,75.86611166,1680,2007-05-11T09:23,445394.2461,6186637.366,61.8441315,0.965715885,0.997034849,0.196322276,0.893383662,NA,0.093969794,-0.746856689,0.249400379,-0.008431161,-0.37510764,-0.598112857,0.285323385,0.288588772,NA,0.651956418,0.627273277,0.645471456
0.271351307,dx,0.259601288,0.787586429,0.693057554,0.031047656,50.14384632,NA,NA,0.280940352,14.86864078,0.742149214,161.0729235,0.487363088,20.51051131,0.996794579,64.18489422,0.845376348,96.06097068,0.779275368,143.1879399,0.194210999,24.26345396,0.904311644,44.8550308,NA,NA,0.649482644,20.8281567,0.189924696,10.9458593,0.449235931,26.48368269,1380,2007-05-11T09:31,445425.3497,6186753.072,56.45049251,0.962480373,0.965715885,0.616204201,0.999517905,NA,0.959725231,-0.670234693,0.873199416,0.08000355,-0.534171162,-0.626681659,0.980959779,0.426872875,NA,0.760376416,0.981798661,0.893413162
0.402223612,dx,0.271351307,-0.259430637,0.447812124,-0.58339304,86.42043959,NA,NA,-0.702869591,8.951205293,0.971461869,33.92206227,-0.897244459,48.0818654,0.837750637,51.04059439,0.952322778,92.12111628,0.999629654,117.7041953,-0.948594313,64.90231528,0.572869697,82.47700341,NA,NA,-0.877708558,64.4891254,-0.869115646,56.58218723,-0.849223214,68.42893169,1200,2007-05-11T09:46,445466.57,6186899.279,64.59342013,0.915541461,0.962480373,0.965761743,0.812189978,NA,0.711318732,-0.237195779,0.441534123,0.546052991,0.305092326,-0.027213146,0.316494596,0.819646455,NA,0.479194833,0.494608931,0.528034027
-0.335259252,dx,0.402223612,-0.688812306,0.772801454,-0.666738546,170.3887222,NA,NA,-0.912296262,81.72008434,-0.99945964,11.52492293,-0.877691078,82.82873765,-0.539018282,36.67199512,0.130430199,56.13034512,0.955597645,78.74143373,-0.936891336,113.1242522,0.006220562,51.08921613,NA,NA,-0.875680641,125.7100862,-0.817566273,98.87558338,-0.854688216,129.6487677,960,2007-05-11T09:51,445488.5816,6186949.382,86.37117889,0.942125912,0.915541461,0.724939727,0.745291696,NA,0.409530866,0.032869863,0.479226849,0.842294065,0.991457494,0.294674637,0.349620687,0.999980652,NA,0.482890687,0.575834516,0.51914165
